date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2011-09-26,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bull_MidVol
2011-09-27,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bull_MidVol
2011-09-28,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bull_MidVol
2011-09-29,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-09-30,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-10-03,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-10-04,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-10-05,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bear
2011-10-06,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-10-07,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bear
2011-10-10,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-11,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-12,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-13,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-14,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-17,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-18,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-19,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-20,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-21,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-24,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-25,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-26,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-27,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-28,678.1,678.1,0.0,0.0,0.0,43.43,0,CASH_BIL,Bull_MidVol
2011-10-31,696.33,0.0,262.19,958.52,1.38,41.91,2,"REGN,MA",Bull_MidVol
2011-11-01,684.45,-0.03,262.19,946.67,1.38,42.9,2,"REGN,MA",Bull_MidVol
2011-11-02,707.7,-0.07,262.19,969.96,1.37,40.96,2,"REGN,MA",Bull_MidVol
2011-11-03,701.08,-0.1,262.19,963.37,1.37,41.52,2,"REGN,MA",Bull_MidVol
2011-11-04,718.82,-0.13,262.19,981.15,1.36,40.04,2,"REGN,MA",Bull_MidVol
2011-11-07,696.62,-0.16,262.19,958.98,1.38,41.89,2,"REGN,MA",Bull_MidVol
2011-11-08,701.11,-0.2,262.19,963.5,1.37,41.51,2,"REGN,MA",Bull_MidVol
2011-11-09,684.53,-0.23,262.19,946.95,1.38,42.9,2,"REGN,MA",Bull_MidVol
2011-11-10,677.65,-0.26,262.19,940.11,1.39,43.47,2,"REGN,MA",Bull_MidVol
2011-11-11,675.81,-0.29,262.19,938.29,1.39,43.63,2,"REGN,MA",Bull_MidVol
2011-11-14,688.89,-0.33,262.19,951.41,1.38,42.53,2,"REGN,MA",Bull_MidVol
2011-11-15,676.53,-0.36,262.19,939.08,1.39,43.56,2,"REGN,MA",Bull_MidVol
2011-11-16,640.29,-0.39,262.19,902.87,1.41,46.59,2,"REGN,MA",Bull_MidVol
2011-11-17,644.77,-0.43,262.19,907.39,1.41,46.21,2,"REGN,MA",Bull_MidVol
2011-11-18,627.0,-0.46,262.19,889.65,1.42,47.7,2,"REGN,MA",Bull_MidVol
2011-11-21,692.41,692.41,0.0,0.0,0.0,42.24,0,CASH_BIL,Bear
2011-11-22,692.56,692.56,0.0,0.0,0.0,42.23,0,CASH_BIL,Bear
2011-11-23,692.56,692.56,0.0,0.0,0.0,42.23,0,CASH_BIL,Bear
2011-11-25,692.56,692.56,0.0,0.0,0.0,42.23,0,CASH_BIL,Bear
2011-11-28,692.56,692.56,0.0,0.0,0.0,42.23,0,CASH_BIL,Bull_MidVol
2011-11-29,692.71,692.71,0.0,0.0,0.0,42.21,0,CASH_BIL,Bear
2011-11-30,698.99,34.23,0.0,664.76,0.95,41.69,2,"ISRG,FAST",Bull_MidVol
2011-12-01,701.02,34.23,0.0,666.79,0.95,41.52,2,"ISRG,FAST",Bull_MidVol
2011-12-02,698.34,34.23,0.0,664.11,0.95,41.75,2,"ISRG,FAST",Bull_MidVol
2011-12-05,706.99,34.23,0.0,672.76,0.95,41.02,2,"ISRG,FAST",Bull_MidVol
2011-12-06,709.98,34.23,0.0,675.76,0.95,40.77,2,"ISRG,FAST",Bull_MidVol
2011-12-07,703.7,34.23,0.0,669.47,0.95,41.3,2,"ISRG,FAST",Bull_MidVol
2011-12-08,691.57,34.23,0.0,657.34,0.95,42.31,2,"ISRG,FAST",Bull_MidVol
2011-12-09,707.17,34.23,0.0,672.94,0.95,41.01,2,"ISRG,FAST",Bull_MidVol
2011-12-12,694.4,34.23,0.0,660.17,0.95,42.07,2,"ISRG,FAST",Bull_MidVol
2011-12-13,690.58,34.23,0.0,656.36,0.95,42.39,2,"ISRG,FAST",Bull_MidVol
2011-12-14,680.39,34.23,0.0,646.16,0.95,43.24,2,"ISRG,FAST",Bull_MidVol
