Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
ASML,2012-09-04,2012-10-01,54.75,51.7,-5.56,RebalanceExit,-66.96
VLO,2012-10-01,2012-11-01,17.95,16.06,-10.5,RebalanceExit,-56.52
REGN,2012-03-01,2012-12-03,121.3,178.14,46.85,RebalanceExit,795.65
MPC,2012-12-03,2013-01-02,20.3,21.69,6.88,RebalanceExit,71.23
GILD,2012-11-01,2013-02-01,23.83,27.52,15.48,RebalanceExit,99.6
REGN,2013-01-02,2013-03-01,175.09,164.79,-5.88,RebalanceExit,-144.23
URI,2013-02-01,2013-03-01,49.1,50.52,2.9,RebalanceExit,51.29
VLO,2013-03-01,2013-04-18,25.71,21.65,-15.78,StopLoss,-251.51
MPC,2013-03-01,2013-06-03,28.48,28.18,-1.05,RebalanceExit,-19.38
MU,2013-05-01,2013-06-03,9.2,11.43,24.17,RebalanceExit,206.86
VRTX,2013-06-03,2013-07-01,80.98,81.29,0.39,RebalanceExit,5.93
MU,2013-07-01,2013-10-01,13.47,17.07,26.74,RebalanceExit,299.0
META,2013-10-01,2013-11-01,49.63,50.31,1.39,RebalanceExit,19.98
MU,2013-11-01,2013-12-02,17.34,20.54,18.44,RebalanceExit,198.22
TSLA,2013-06-03,2014-01-02,8.72,9.97,14.35,RebalanceExit,573.07
NFLX,2013-12-02,2014-02-03,5.24,5.87,11.99,RebalanceExit,476.67
MU,2014-01-02,2014-04-01,22.13,23.2,4.87,RebalanceExit,186.5
META,2014-04-01,2014-05-01,60.04,59.79,-0.42,RebalanceExit,-2.25
TSLA,2014-02-03,2014-05-09,14.25,11.97,-16.02,StopLoss,-899.64
TSLA,2014-06-02,2014-07-01,13.85,16.13,16.51,RebalanceExit,423.06
NXPI,2014-07-01,2014-09-02,59.0,61.56,4.34,RebalanceExit,130.71
MU,2014-05-01,2014-10-01,28.95,33.34,15.14,RebalanceExit,596.32
INTC,2014-09-02,2014-10-01,26.54,26.33,-0.8,RebalanceExit,-26.01
AVGO,2014-10-01,2014-10-13,6.54,5.3,-19.03,StopLoss,-505.74
GILD,2014-10-01,2014-11-03,73.56,76.94,4.59,RebalanceExit,182.25
VRTX,2014-11-03,2015-01-02,114.48,119.75,4.6,RebalanceExit,152.86
MELI,2015-01-02,2015-02-02,126.84,122.57,-3.37,RebalanceExit,-38.42
PANW,2014-11-03,2015-06-01,18.42,28.27,53.44,RebalanceExit,2372.7
AVGO,2015-02-02,2015-06-01,8.64,11.17,29.21,RebalanceExit,1214.54
FTNT,2015-06-01,2015-07-01,8.06,8.35,3.57,RebalanceExit,241.4
AVGO,2015-07-01,2015-08-03,10.19,9.55,-6.29,RebalanceExit,-90.4
PANW,2015-08-03,2015-08-25,31.11,26.75,-14.02,StopLoss,-1579.36
FTNT,2015-09-01,2015-10-01,8.22,8.48,3.2,RebalanceExit,106.33
NFLX,2015-06-01,2015-12-01,8.9,12.42,39.6,RebalanceExit,2572.48
GOOGL,2015-12-01,2016-01-04,38.05,37.68,-0.98,RebalanceExit,-33.27
NFLX,2016-01-04,2016-01-28,10.92,9.37,-14.22,StopLoss,-411.64
AMZN,2015-10-01,2016-02-04,31.85,26.2,-17.74,StopLoss,-2277.87
KLAC,2016-02-01,2016-02-09,5.55,5.3,-4.53,MacroBearCash,-57.51
KLAC,2016-04-01,2016-05-02,6.13,5.9,-3.68,RebalanceExit,-241.77
FAST,2016-04-01,2016-06-01,9.2,8.78,-4.48,RebalanceExit,-159.16
AMAT,2016-05-02,2016-06-01,18.32,21.73,18.62,RebalanceExit,429.7
ISRG,2016-06-01,2016-07-01,70.38,73.37,4.25,RebalanceExit,227.54
META,2016-06-01,2016-07-01,117.68,113.0,-3.98,RebalanceExit,-187.43
AMAT,2016-07-01,2016-11-01,22.41,26.12,16.55,RebalanceExit,448.77
MELI,2016-11-01,2016-12-01,167.07,156.68,-6.22,RebalanceExit,-93.52
QCOM,2016-12-01,2017-01-03,52.2,50.58,-3.1,RebalanceExit,-66.41
