date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2024-03-07,124827.05,0.0,39577.02,164404.07,1.32,0.0,2,"CRWD,SMCI",Bull_MidVol
2024-03-08,121804.93,0.0,39577.02,161381.95,1.32,2.42,2,"CRWD,SMCI",Bull_MidVol
2024-03-11,115436.17,0.0,39577.02,155013.19,1.34,7.52,2,"CRWD,SMCI",Bull_MidVol
2024-03-12,125042.84,0.0,39577.02,164619.86,1.32,0.0,2,"CRWD,SMCI",Bull_MidVol
2024-03-13,127823.45,0.0,39577.02,167400.47,1.31,0.0,2,"CRWD,SMCI",Bull_MidVol
2024-03-14,121966.53,0.0,39577.02,161543.55,1.32,4.58,2,"CRWD,SMCI",Bull_MidVol
2024-03-15,114099.23,0.0,39577.02,153676.25,1.35,10.74,2,"CRWD,SMCI",Bull_MidVol
2024-03-18,108972.46,0.0,39577.02,148549.48,1.36,14.75,2,"CRWD,SMCI",Bull_MidVol
2024-03-19,100884.31,0.0,39577.02,140461.33,1.39,21.08,2,"CRWD,SMCI",Bull_MidVol
2024-03-20,100682.45,0.0,39577.02,140259.47,1.39,21.23,2,"CRWD,SMCI",Bull_MidVol
2024-03-21,107900.17,0.0,39577.02,147477.19,1.37,15.59,2,"CRWD,SMCI",Bull_LowVol
2024-03-22,107657.64,0.0,39577.02,147234.66,1.37,15.78,2,"CRWD,SMCI",Bull_LowVol
2024-03-25,113428.78,0.0,39577.02,153005.8,1.35,11.26,2,"CRWD,SMCI",Bull_LowVol
2024-03-26,112797.98,0.0,39577.02,152375.0,1.35,11.75,2,"CRWD,SMCI",Bull_LowVol
2024-03-27,111219.44,0.0,39577.02,150796.46,1.36,12.99,2,"CRWD,SMCI",Bull_LowVol
2024-03-28,109620.62,0.0,2886.07,112506.69,1.03,14.24,2,"SMCI,SOXL",Bull_LowVol
2024-04-01,112740.44,0.0,2886.07,115626.51,1.03,11.8,2,"SMCI,SOXL",Bull_LowVol
2024-04-02,109304.54,0.0,2886.07,112190.61,1.03,14.49,2,"SMCI,SOXL",Bull_LowVol
2024-04-03,109958.14,0.0,2886.07,112844.21,1.03,13.98,2,"SMCI,SOXL",Bull_LowVol
2024-04-04,102996.0,0.0,2886.07,105882.07,1.03,19.42,2,"SMCI,SOXL",Bull_LowVol
