Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
ALNY,2013-08-16,2013-10-08,48.9,60.84,24.43,TrendExit,7238.96
GSAT,2013-10-08,2013-10-09,22.07,19.48,-11.77,StopLoss,-4297.23
ARWR,2013-10-04,2013-10-29,6.06,7.69,27.01,RankDrop,10809.61
UI,2013-10-09,2013-10-29,32.52,34.76,6.9,RankDrop,3265.29
GSAT,2013-10-29,2013-11-12,21.92,23.08,5.28,RankDrop,2507.07
AXON,2013-10-29,2013-12-09,15.26,16.82,10.21,TrendExit,4855.32
HALO,2013-11-12,2014-01-07,13.13,14.78,12.53,TrendExit,6844.4
GSAT,2013-12-09,2014-01-10,26.42,26.68,0.96,RankDrop,577.4
TKO,2014-01-10,2014-02-28,14.48,18.48,27.61,TrendExit,23058.1
JAZZ,2014-01-07,2014-03-03,132.21,147.16,11.31,TrendExit,8671.75
ILMN,2014-03-03,2014-03-24,165.73,148.34,-10.5,StopLoss,-13221.36
ARWR,2014-02-28,2014-03-25,20.02,17.7,-11.63,StopLoss,-12073.03
TKO,2014-03-24,2014-03-27,25.21,22.24,-11.79,StopLoss,-9743.75
GSAT,2014-03-25,2014-04-16,40.83,36.42,-10.82,StopLoss,-6993.06
LSCC,2014-03-27,2014-04-23,7.44,8.18,9.94,RankDrop,2678.25
FSLR,2014-04-16,2014-05-16,67.14,59.53,-11.33,StopLoss,-2944.63
AMKR,2014-05-16,2014-06-23,8.66,9.87,13.9,TrendExit,7296.95
PPC,2014-04-23,2014-07-03,15.36,18.44,20.09,RankDrop,13227.78
GSAT,2014-07-03,2014-07-18,66.8,58.6,-12.28,StopLoss,-9008.62
AMKR,2014-06-23,2014-07-18,9.88,9.99,1.04,RankDrop,656.51
RGEN,2014-07-18,2014-08-01,22.16,20.87,-5.81,RankDrop,-3615.24
VRTX,2014-08-01,2014-08-29,89.68,93.0,3.7,RankDrop,2224.56
ENSG,2014-07-18,2014-09-15,14.25,15.45,8.42,RankDrop,5238.5
ENPH,2014-08-29,2014-09-24,14.03,15.56,10.87,TrendExit,7145.63
STLD,2014-09-15,2014-10-08,18.6,16.48,-11.39,StopLoss,-8988.39
